2015,1,1,4,"AS",98,"N407AS","ANC","SEA",5,2354,-11,21,15,205,194,169,1448,404,4,430,408,-22,0,0,,,,,,
2015,1,1,4,"AA",2336,"N3KUAA","LAX","PBI",10,2,-8,12,14,280,279,263,2330,737,4,750,741,-9,0,0,,,,,,
2015,1,1,4,"US",840,"N171US","SFO","CLT",20,18,-2,16,34,286,293,266,2296,800,11,806,811,5,0,0,,,,,,
2015,1,1,4,"AA",258,"N3HYAA","LAX","MIA",20,15,-5,15,30,285,281,258,2342,748,8,805,756,-9,0,0,,,,,,
2015,1,1,4,"AS",135,"N527AS","SEA","ANC",25,24,-1,11,35,235,215,199,1448,254,5,320,259,-21,0,0,,,,,,
2015,1,1,4,"DL",806,"N3730B","SFO","MSP",25,20,-5,18,38,217,230,206,1589,604,6,602,610,8,0,0,,,,,,
2015,1,1,4,"NK",612,"N635NK","LAS","MSP",25,19,-6,11,30,181,170,154,1299,504,5,526,509,-17,0,0,,,,,,
2015,1,1,4,"US",2013,"N584UW","LAX","CLT",30,44,14,13,57,273,249,228,2125,745,8,803,753,-10,0,0,,,,,,
2015,1,1,4,"AA",1112,"N3LAAA","SFO","DFW",30,19,-11,17,36,195,193,173,1464,529,3,545,532,-13,0,0,,,,,,
2015,1,1,4,"DL",1173,"N826DN","LAS","ATL",30,33,3,12,45,221,203,186,1747,651,5,711,656,-15,0,0,,,,,,
2015,1,1,4,"DL",2336,"N958DN","DEN","ATL",30,24,-6,12,36,173,149,133,1199,449,4,523,453,-30,0,0,,,,,,
2015,1,1,4,"AA",1674,"N853AA","LAS","MIA",35,27,-8,21,48,268,266,238,2174,746,7,803,753,-10,0,0,,,,,,
2015,1,1,4,"DL",1434,"N547US","LAX","MSP",35,35,0,18,53,214,210,188,1535,601,4,609,605,-4,0,0,,,,,,
2015,1,1,4,"DL",2324,"N3751B","SLC","ATL",40,34,-6,18,52,215,199,176,1590,548,5,615,553,-22,0,0,,,,,,
